Episode,Return
880,178.0
881,179.0
882,179.0
883,178.0
884,185.0
885,185.0
886,173.0
887,162.0
888,175.0
889,185.0
890,185.0
891,185.0
892,160.0
893,172.0
894,155.0
895,178.0
896,181.0
897,185.0
898,185.0
899,159.0
900,185.0
901,179.0
902,175.0
903,185.0
904,185.0
905,185.0
906,185.0
907,171.0
908,176.0
909,169.0
910,185.0
911,179.0
912,169.0
913,185.0
914,163.0
915,185.0
916,184.0
917,185.0
918,165.0
919,185.0
920,180.0
921,185.0
922,181.0
923,176.0
924,185.0
925,185.0
926,185.0
927,185.0
928,181.0
929,169.0
930,179.0
931,176.0
932,181.0
933,185.0
934,179.0
935,149.0
936,183.0
937,173.0
938,178.0
939,174.0
940,185.0
941,175.0
942,185.0
943,185.0
944,179.0
945,178.0
946,172.0
947,178.0
948,185.0
949,165.0
950,182.0
951,161.0
952,176.0
953,185.0
954,177.0
955,164.0
956,185.0
957,173.0
958,172.0
959,179.0
960,185.0
961,178.0
962,185.0
963,185.0
964,179.0
965,185.0
966,172.0
967,185.0
968,178.0
969,175.0
970,185.0
971,179.0
972,172.0
973,158.0
974,185.0
975,179.0
976,170.0
977,185.0
978,179.0
979,185.0
980,179.0
981,178.0
982,185.0
983,185.0
984,183.0
985,145.0
986,173.0
987,172.0
988,185.0
989,176.0
990,183.0
991,166.0
992,185.0
993,165.0
994,178.0
995,183.0
996,183.0
997,181.0
998,178.0
999,185.0
1000,171.0
1001,165.0
1002,185.0
1003,171.0
1004,143.0
1005,185.0
1006,185.0
1007,179.0
1008,185.0
1009,181.0
1010,179.0
1011,169.0
1012,173.0
1013,185.0
1014,185.0
1015,181.0
1016,179.0
1017,185.0
1018,184.0
1019,180.0
1020,185.0
1021,185.0
1022,183.0
1023,159.0
1024,185.0
1025,185.0
1026,181.0
1027,181.0
1028,178.0
1029,162.0
1030,173.0
1031,185.0
1032,185.0
1033,168.0
1034,171.0
1035,185.0
1036,163.0
1037,162.0
1038,183.0
1039,179.0
1040,163.0
1041,185.0
1042,185.0
1043,179.0
1044,181.0
1045,172.0
1046,185.0
1047,179.0
1048,179.0
1049,185.0
1050,172.0
1051,185.0
1052,176.0
1053,185.0
1054,177.0
1055,185.0
1056,174.0
1057,159.0
1058,184.0
1059,185.0
1060,172.0
1061,185.0
1062,185.0
1063,185.0
1064,179.0
1065,185.0
1066,181.0
1067,183.0
1068,164.0
1069,176.0
1070,185.0
1071,169.0
1072,185.0
1073,178.0
1074,162.0
1075,179.0
1076,173.0
1077,185.0
1078,185.0
1079,185.0
1080,185.0
1081,184.0
1082,178.0
1083,181.0
1084,185.0
1085,172.0
1086,179.0
1087,184.0
1088,185.0
1089,170.0
1090,166.0
1091,181.0
1092,181.0
1093,175.0
1094,179.0
1095,185.0
1096,172.0
1097,174.0
1098,185.0
1099,147.0
1100,185.0
1101,179.0
1102,181.0
1103,185.0
1104,177.0
1105,181.0
1106,174.0
1107,178.0
1108,177.0
1109,174.0
1110,180.0
1111,177.0
1112,177.0
1113,169.0
1114,161.0
1115,185.0
1116,185.0
1117,184.0
1118,185.0
1119,185.0
1120,181.0
1121,181.0
1122,182.0
1123,177.0
1124,166.0
1125,175.0
1126,174.0
1127,176.0
1128,182.0
1129,180.0
1130,162.0
1131,182.0
1132,185.0
1133,178.0
1134,178.0
1135,181.0
1136,185.0
1137,177.0
1138,185.0
1139,185.0
1140,185.0
1141,174.0
1142,174.0
1143,151.0
1144,181.0
1145,180.0
1146,150.0
1147,185.0
1148,174.0
1149,185.0
1150,185.0
1151,181.0
1152,170.0
1153,185.0
1154,181.0
1155,175.0
1156,185.0
1157,181.0
1158,185.0
1159,174.0
1160,185.0
1161,183.0
1162,172.0
1163,179.0
1164,170.0
1165,179.0
1166,185.0
1167,168.0
1168,181.0
1169,179.0
1170,185.0
1171,185.0
1172,172.0
1173,167.0
1174,185.0
1175,165.0
1176,185.0
1177,181.0
1178,179.0
1179,185.0
1180,172.0
1181,185.0
1182,185.0
1183,185.0
1184,181.0
1185,181.0
1186,166.0
1187,181.0
1188,185.0
1189,162.0
1190,136.0
1191,170.0
1192,161.0
1193,174.0
1194,169.0
1195,182.0
1196,185.0
1197,182.0
1198,181.0
1199,185.0
1200,179.0
1201,180.0
1202,185.0
1203,177.0
1204,158.0
1205,168.0
1206,178.0
1207,181.0
1208,179.0
1209,185.0
1210,184.0
1211,185.0
1212,177.0
1213,183.0
1214,185.0
1215,172.0
1216,185.0
1217,185.0
1218,179.0
1219,173.0
1220,170.0
1221,178.0
1222,185.0
1223,162.0
1224,168.0
1225,185.0
1226,175.0
1227,182.0
1228,172.0
1229,185.0
1230,185.0
1231,183.0
1232,185.0
1233,182.0
1234,169.0
1235,164.0
1236,157.0
1237,166.0
1238,179.0
1239,171.0
1240,185.0
1241,185.0
1242,185.0
1243,185.0
1244,166.0
1245,185.0
1246,185.0
1247,179.0
1248,177.0
1249,178.0
1250,183.0
1251,185.0
1252,173.0
1253,181.0
1254,178.0
1255,184.0
1256,173.0
1257,181.0
1258,185.0
1259,181.0
1260,175.0
1261,166.0
1262,169.0
1263,-35.0
1264,185.0
1265,137.0
1266,178.0
1267,185.0
1268,176.0
1269,181.0
1270,185.0
1271,185.0
1272,177.0
1273,185.0
1274,185.0
1275,181.0
1276,168.0
1277,180.0
1278,153.0
1279,161.0
1280,182.0
1281,177.0
1282,185.0
1283,172.0
1284,150.0
1285,185.0
1286,171.0
1287,179.0
1288,163.0
1289,185.0
1290,179.0
1291,174.0
1292,163.0
1293,185.0
1294,181.0
1295,185.0
1296,178.0
1297,181.0
1298,165.0
1299,178.0
1300,180.0
1301,185.0
1302,167.0
1303,177.0
1304,159.0
1305,181.0
1306,185.0
1307,185.0
1308,185.0
1309,185.0
1310,185.0
1311,173.0
1312,179.0
1313,180.0
1314,177.0
1315,181.0
1316,185.0
1317,154.0
1318,170.0
1319,167.0
1320,185.0
1321,174.0
1322,185.0
1323,156.0
1324,185.0
1325,177.0
1326,185.0
1327,185.0
1328,177.0
1329,179.0
1330,181.0
1331,181.0
1332,185.0
1333,185.0
1334,169.0
1335,175.0
1336,185.0
1337,170.0
1338,178.0
1339,174.0
1340,167.0
1341,185.0
1342,178.0
1343,171.0
1344,184.0
1345,185.0
1346,181.0
1347,178.0
1348,185.0
1349,185.0
1350,177.0
1351,168.0
1352,181.0
1353,185.0
1354,185.0
1355,181.0
1356,185.0
1357,184.0
1358,175.0
1359,170.0
1360,167.0
1361,174.0
1362,169.0
1363,181.0
1364,185.0
1365,185.0
1366,179.0
1367,185.0
1368,185.0
1369,185.0
1370,174.0
1371,185.0
1372,143.0
1373,170.0
1374,181.0
1375,185.0
1376,166.0
1377,177.0
1378,185.0
1379,185.0
1380,178.0
1381,181.0
1382,178.0
1383,177.0
1384,161.0
1385,177.0
1386,171.0
1387,180.0
1388,185.0
1389,185.0
1390,185.0
1391,165.0
1392,185.0
1393,178.0
1394,168.0
1395,168.0
1396,185.0
1397,175.0
1398,171.0
1399,185.0
1400,177.0
1401,185.0
1402,181.0
1403,154.0
1404,185.0
1405,170.0
1406,185.0
1407,180.0
1408,182.0
1409,181.0
1410,185.0
1411,185.0
1412,185.0
1413,185.0
1414,185.0
1415,185.0
1416,167.0
1417,179.0
1418,161.0
1419,177.0
1420,163.0
1421,154.0
1422,169.0
1423,177.0
1424,181.0
1425,185.0
1426,185.0
1427,181.0
1428,181.0
1429,185.0
1430,165.0
1431,181.0
1432,165.0
1433,185.0
1434,185.0
1435,180.0
1436,161.0
1437,181.0
1438,173.0
1439,166.0
1440,185.0
1441,173.0
1442,185.0
1443,181.0
1444,177.0
1445,185.0
1446,179.0
1447,177.0
1448,156.0
1449,185.0
1450,179.0
1451,181.0
1452,181.0
1453,185.0
1454,185.0
1455,177.0
1456,185.0
1457,180.0
1458,185.0
1459,185.0
1460,174.0
1461,174.0
1462,156.0
1463,178.0
1464,168.0
1465,180.0
1466,162.0
1467,180.0
1468,185.0
1469,185.0
1470,185.0
1471,172.0
1472,171.0
1473,185.0
1474,174.0
1475,185.0
1476,185.0
1477,156.0
1478,164.0
1479,185.0
1480,174.0
1481,185.0
1482,185.0
1483,180.0
1484,185.0
1485,185.0
1486,185.0
1487,171.0
1488,185.0
1489,175.0
1490,181.0
1491,174.0
1492,170.0
1493,177.0
1494,159.0
1495,185.0
1496,185.0
1497,185.0
1498,157.0
1499,183.0
1500,185.0
1501,178.0
1502,185.0
1503,185.0
1504,185.0
1505,185.0
1506,185.0
1507,169.0
1508,185.0
1509,185.0
1510,185.0
1511,185.0
1512,169.0
1513,185.0
1514,159.0
1515,173.0
1516,167.0
1517,181.0
1518,175.0
1519,185.0
1520,178.0
1521,185.0
1522,159.0
1523,185.0
1524,174.0
1525,182.0
1526,185.0
1527,173.0
1528,185.0
1529,181.0
1530,171.0
1531,185.0
1532,185.0
1533,185.0
1534,160.0
1535,181.0
1536,185.0
1537,185.0
1538,185.0
1539,169.0
1540,185.0
1541,179.0
1542,171.0
1543,169.0
1544,172.0
1545,159.0
1546,185.0
1547,185.0
1548,180.0
1549,184.0
1550,174.0
1551,185.0
1552,181.0
1553,185.0
1554,175.0
1555,181.0
1556,180.0
1557,176.0
1558,185.0
1559,175.0
1560,181.0
1561,165.0
1562,185.0
1563,182.0
1564,176.0
1565,181.0
1566,182.0
1567,185.0
1568,184.0
1569,181.0
1570,185.0
1571,181.0
1572,171.0
1573,185.0
1574,177.0
1575,174.0
1576,178.0
1577,167.0
1578,185.0
1579,177.0
1580,174.0
1581,181.0
1582,174.0
1583,185.0
1584,168.0
1585,185.0
1586,185.0
1587,175.0
1588,185.0
1589,179.0
1590,185.0
1591,181.0
1592,185.0
1593,185.0
1594,185.0
1595,185.0
1596,177.0
1597,181.0
1598,177.0
1599,171.0
1600,175.0
1601,181.0
1602,185.0
1603,173.0
1604,185.0
1605,185.0
1606,162.0
1607,185.0
1608,181.0
1609,185.0
1610,176.0
1611,175.0
1612,185.0
1613,174.0
1614,160.0
1615,179.0
1616,185.0
1617,174.0
1618,160.0
1619,185.0
1620,185.0
1621,185.0
1622,182.0
1623,181.0
1624,181.0
1625,171.0
1626,181.0
1627,181.0
1628,185.0
1629,163.0
1630,185.0
1631,185.0
1632,174.0
1633,185.0
1634,178.0
1635,169.0
1636,185.0
1637,181.0
1638,178.0
1639,185.0
1640,185.0
1641,181.0
1642,181.0
1643,185.0
1644,181.0
1645,185.0
1646,185.0
1647,182.0
1648,185.0
1649,185.0
1650,176.0
1651,175.0
1652,185.0
1653,185.0
1654,178.0
1655,185.0
1656,177.0
1657,174.0
1658,179.0
1659,185.0
1660,182.0
1661,185.0
1662,177.0
1663,185.0
1664,181.0
1665,174.0
1666,158.0
1667,185.0
1668,179.0
1669,178.0
1670,173.0
1671,185.0
1672,167.0
1673,185.0
1674,185.0
1675,185.0
1676,185.0
1677,163.0
1678,185.0
1679,185.0
1680,181.0
1681,185.0
1682,174.0
1683,185.0
1684,182.0
1685,181.0
1686,178.0
1687,171.0
1688,185.0
1689,185.0
1690,162.0
1691,185.0
1692,185.0
1693,177.0
1694,185.0
1695,179.0
1696,185.0
1697,170.0
1698,185.0
1699,178.0
1700,173.0
1701,185.0
1702,178.0
1703,185.0
1704,166.0
1705,185.0
1706,169.0
1707,166.0
1708,172.0
1709,153.0
1710,185.0
1711,167.0
1712,185.0
1713,167.0
1714,183.0
1715,180.0
1716,171.0
1717,167.0
1718,181.0
1719,162.0
1720,178.0
1721,185.0
1722,145.0
1723,185.0
1724,172.0
1725,185.0
1726,153.0
1727,167.0
1728,185.0
1729,181.0
1730,185.0
1731,146.0
1732,170.0
1733,180.0
1734,178.0
1735,157.0
1736,169.0
1737,181.0
1738,185.0
1739,181.0
1740,162.0
1741,178.0
1742,177.0
1743,181.0
1744,185.0
1745,180.0
1746,165.0
1747,182.0
1748,177.0
1749,170.0
1750,175.0
1751,165.0
1752,173.0
1753,185.0
1754,182.0
1755,179.0
1756,185.0
1757,175.0
1758,174.0
1759,185.0
1760,174.0
1761,181.0
1762,170.0
1763,185.0
1764,182.0
1765,181.0
1766,177.0
1767,185.0
1768,176.0
1769,173.0
1770,185.0
1771,174.0
1772,182.0
1773,176.0
1774,175.0
1775,167.0
1776,181.0
1777,185.0
1778,172.0
1779,174.0
1780,185.0
1781,178.0
1782,185.0
1783,185.0
1784,185.0
1785,169.0
1786,174.0
1787,178.0
1788,181.0
1789,185.0
1790,185.0
1791,181.0
1792,171.0
1793,185.0
1794,181.0
1795,185.0
1796,185.0
1797,174.0
1798,185.0
1799,185.0
1800,185.0
1801,171.0
1802,169.0
1803,185.0
1804,185.0
1805,177.0
1806,185.0
1807,185.0
1808,181.0
1809,165.0
1810,179.0
1811,185.0
1812,174.0
1813,185.0
1814,180.0
1815,179.0
1816,185.0
1817,185.0
1818,185.0
1819,185.0
1820,185.0
1821,185.0
1822,185.0
1823,185.0
1824,181.0
1825,172.0
1826,166.0
1827,174.0
1828,183.0
1829,185.0
1830,172.0
1831,185.0
1832,161.0
1833,176.0
1834,176.0
1835,185.0
1836,181.0
1837,185.0
1838,185.0
1839,181.0
1840,153.0
1841,185.0
1842,170.0
1843,185.0
1844,185.0
1845,185.0
1846,168.0
1847,185.0
1848,185.0
1849,163.0
1850,162.0
1851,169.0
1852,173.0
1853,181.0
1854,181.0
1855,185.0
1856,185.0
1857,182.0
1858,169.0
1859,185.0
1860,166.0
1861,176.0
1862,185.0
1863,181.0
1864,185.0
1865,174.0
1866,181.0
1867,181.0
1868,173.0
1869,178.0
1870,185.0
1871,185.0
1872,185.0
1873,174.0
1874,169.0
1875,166.0
1876,181.0
1877,177.0
1878,185.0
1879,178.0
1880,160.0
1881,181.0
1882,178.0
1883,185.0
1884,167.0
1885,173.0
1886,173.0
1887,185.0
1888,182.0
1889,185.0
1890,180.0
1891,178.0
1892,177.0
1893,185.0
1894,173.0
1895,185.0
1896,185.0
1897,178.0
1898,185.0
1899,185.0
1900,185.0
1901,175.0
1902,181.0
1903,185.0
1904,185.0
1905,182.0
1906,185.0
1907,185.0
1908,185.0
1909,182.0
1910,178.0
1911,177.0
1912,181.0
1913,185.0
1914,170.0
1915,174.0
1916,185.0
1917,169.0
1918,185.0
1919,164.0
1920,185.0
1921,179.0
1922,181.0
1923,169.0
1924,174.0
1925,171.0
1926,171.0
1927,185.0
1928,178.0
1929,170.0
1930,158.0
1931,185.0
1932,174.0
1933,185.0
1934,185.0
1935,181.0
1936,185.0
1937,181.0
1938,147.0
1939,174.0
1940,181.0
1941,169.0
1942,185.0
1943,173.0
1944,160.0
1945,185.0
1946,177.0
1947,178.0
1948,185.0
1949,181.0
1950,185.0
1951,165.0
1952,170.0
1953,177.0
1954,181.0
1955,185.0
1956,185.0
1957,174.0
1958,174.0
1959,164.0
1960,185.0
1961,174.0
1962,173.0
1963,174.0
1964,181.0
1965,174.0
1966,176.0
1967,185.0
1968,171.0
1969,181.0
1970,181.0
1971,181.0
1972,175.0
1973,181.0
1974,185.0
1975,174.0
1976,185.0
1977,182.0
1978,185.0
1979,181.0
1980,185.0
1981,185.0
1982,178.0
1983,169.0
1984,185.0
1985,185.0
1986,174.0
1987,185.0
1988,181.0
1989,185.0
1990,185.0
1991,185.0
1992,177.0
1993,185.0
1994,185.0
1995,170.0
1996,180.0
1997,181.0
1998,185.0
1999,176.0
