Episode,Return
1115,178.66666666666666
1116,179.11111111111111
1117,179.55555555555554
1118,181.0
1119,182.77777777777777
1120,180.66666666666666
1121,179.55555555555554
1122,178.44444444444446
1123,177.44444444444446
1124,177.11111111111111
1125,177.0
1126,174.88888888888889
1127,174.88888888888889
1128,175.77777777777777
1129,177.11111111111111
1130,177.44444444444446
1131,178.22222222222223
1132,179.22222222222223
1133,178.66666666666666
1134,179.22222222222223
1135,181.77777777777777
1136,182.11111111111111
1137,180.88888888888889
1138,180.44444444444446
1139,177.44444444444446
1140,177.44444444444446
1141,176.88888888888889
1142,173.88888888888889
1143,173.88888888888889
1144,172.66666666666666
1145,172.66666666666666
1146,173.88888888888889
1147,174.66666666666666
1148,176.77777777777777
1149,177.22222222222223
1150,177.33333333333334
1151,180.11111111111111
1152,180.11111111111111
1153,180.88888888888889
1154,180.88888888888889
1155,179.66666666666666
1156,180.11111111111111
1157,181.55555555555554
1158,180.11111111111111
1159,179.88888888888889
1160,179.33333333333334
1161,178.66666666666666
1162,179.11111111111111
1163,177.22222222222223
1164,178.0
1165,177.33333333333334
1166,177.55555555555554
1167,179.0
1168,178.22222222222223
1169,177.88888888888889
1170,178.55555555555554
1171,176.33333333333334
1172,178.22222222222223
1173,178.22222222222223
1174,178.22222222222223
1175,178.22222222222223
1176,176.77777777777777
1177,178.22222222222223
1178,180.22222222222223
1179,180.22222222222223
1180,182.0
1181,181.55555555555554
1182,179.88888888888889
1183,180.11111111111111
1184,180.11111111111111
1185,179.0
1186,173.55555555555554
1187,171.88888888888889
1188,169.22222222222223
1189,168.44444444444446
1190,167.11111111111111
1191,168.88888888888889
1192,169.33333333333334
1193,169.0
1194,171.11111111111111
1195,176.55555555555554
1196,177.55555555555554
1197,179.66666666666666
1198,180.88888888888889
1199,181.77777777777777
1200,179.11111111111111
1201,177.22222222222223
1202,176.77777777777777
1203,176.77777777777777
1204,176.11111111111111
1205,176.77777777777777
1206,177.22222222222223
1207,177.22222222222223
1208,177.22222222222223
1209,180.0
1210,181.88888888888889
1211,181.22222222222223
1212,181.66666666666666
1213,182.33333333333334
1214,181.66666666666666
1215,180.44444444444446
1216,178.77777777777777
1217,178.88888888888889
1218,179.11111111111111
1219,176.55555555555554
1220,176.11111111111111
1221,176.11111111111111
1222,175.0
1223,175.33333333333334
1224,175.22222222222223
1225,176.88888888888889
1226,177.66666666666666
1227,177.44444444444446
1228,180.0
1229,181.55555555555554
1230,179.77777777777777
1231,178.55555555555554
1232,175.77777777777777
1233,175.11111111111111
1234,174.44444444444446
1235,172.88888888888889
