Wall time,Step,Value
1650333590.6058822,382,1478.0
1650333613.2081358,383,2557.0
1650333632.7650852,384,2225.0
1650333641.4896622,385,999.0
1650333648.8888497,386,836.0
1650333672.0182712,387,2628.0
1650333692.1384706,388,2288.0
1650333715.0380456,389,2611.0
1650333748.150244,390,3783.0
1650333760.9401786,391,1434.0
1650333774.7480638,392,1592.0
1650333781.1120615,393,732.0
1650333798.2999978,394,1937.0
1650333825.0960126,395,3071.0
1650333848.2136884,396,2621.0
1650333866.4980323,397,2071.0
1650333878.1236145,398,1321.0
1650333884.3605084,399,711.0
1650333891.4171057,400,817.0
1650333904.758761,401,1544.0
1650333925.1759007,402,2327.0
1650333951.6914124,403,3009.0
1650333968.3129141,404,1915.0
1650333995.5502186,405,3074.0
1650334034.4517038,406,4437.0
1650334069.392045,407,3976.0
1650334079.0580332,408,1091.0
1650334087.2968261,409,932.0
1650334099.0330677,410,1346.0
1650334110.9558098,411,1357.0
1650334126.3129172,412,1734.0
1650334137.981913,413,1302.0
1650334142.2347744,414,473.0
1650334168.760486,415,3036.0
1650334210.662474,416,4797.0
1650334223.252605,417,1428.0
1650334231.6536348,418,964.0
1650334246.3303025,419,1665.0
1650334263.640155,420,1982.0
1650334301.2341301,421,4303.0
1650334320.1312175,422,2143.0
1650334335.5514264,423,1743.0
1650334352.2634473,424,1900.0
1650334369.9931793,425,2046.0
1650334383.830587,426,1550.0
1650334394.3880198,427,1193.0
1650334406.9413407,428,1432.0
1650334430.3349428,429,2680.0
1650334437.580281,430,832.0
1650334461.807748,431,2756.0
1650334475.5257893,432,1552.0
1650334512.7700255,433,4242.0
1650334524.8964593,434,1387.0
1650334548.9481006,435,2741.0
1650334561.193982,436,1372.0
1650334571.2384162,437,1143.0
1650334587.531075,438,1867.0
1650334595.9962423,439,941.0
1650334602.476995,440,730.0
1650334615.521665,441,1479.0
1650334618.8251412,442,370.0
1650334638.3522549,443,2202.0
1650334647.7057607,444,1056.0
1650334658.7878323,445,1258.0
1650334672.6444986,446,1574.0
1650334680.325891,447,857.0
1650334692.971963,448,1421.0
1650334702.8981543,449,1129.0
1650334714.2978716,450,1298.0
1650334716.7040207,451,270.0
1650334736.2190084,452,2194.0
1650334747.9340239,453,1330.0
1650334756.7590835,454,993.0
1650334788.7906954,455,3648.0
1650334793.527766,456,543.0
1650334808.0830953,457,1641.0
1650334831.759451,458,2677.0
1650334833.5180213,459,203.0
1650334840.9186206,460,842.0
1650334854.6890633,461,1565.0
1650334856.7835107,462,240.0
1650334859.7521322,463,337.0
1650334866.2106001,464,740.0
1650334867.4761708,465,142.0
1650334868.9448624,466,169.0
1650334870.774469,467,207.0
1650334874.2208178,468,390.0
1650334878.4355767,469,472.0
1650334881.116063,470,296.0
1650334883.5703127,471,281.0
1650334887.6728337,472,455.0
1650334891.502093,473,429.0
1650334902.2302315,474,1212.0
1650334905.9760587,475,421.0
1650334909.4219897,476,386.0
1650334912.282561,477,320.0
1650334920.9920151,478,980.0
1650334922.675387,479,193.0
1650334925.5901568,480,337.0
1650334936.440121,481,1212.0
1650334946.1852765,482,1105.0
1650334968.5976133,483,2538.0
1650334982.7348166,484,1596.0
1650335002.5014787,485,2214.0
1650335007.3879466,486,561.0
1650335011.5004213,487,459.0
1650335023.7768323,488,1383.0
1650335040.533647,489,1879.0
1650335045.787862,490,599.0
1650335050.3316133,491,516.0
1650335052.6685185,492,267.0
1650335054.3572578,493,189.0
1650335064.409519,494,1138.0
1650335097.0522256,495,3740.0
1650335107.3083875,496,1138.0
1650335109.872236,497,279.0
1650335110.7628236,498,98.0
1650335112.3565035,499,174.0
1650335114.7597175,500,273.0
1650335116.5877643,501,208.0
1650335121.6112745,502,559.0
1650335127.3056445,503,641.0
1650335130.2163553,504,331.0
1650335133.23545,505,339.0
1650335134.971372,506,191.0
1650335136.580687,507,183.0
1650335139.622693,508,337.0
1650335141.2944958,509,183.0
1650335143.9052253,510,296.0
1650335146.866726,511,330.0
1650335149.0157094,512,243.0
1650335153.9702427,513,561.0
1650335155.143173,514,131.0
1650335156.0181344,515,99.0
1650335156.9107494,516,100.0
1650335157.9732246,517,120.0
1650335159.6065204,518,184.0
1650335160.93457,519,151.0
1650335163.221778,520,257.0
1650335164.84763,521,178.0
1650335167.4654148,522,284.0
1650335169.241753,523,202.0
1650335170.4393926,524,138.0
1650335171.4862278,525,119.0
1650335173.284834,526,206.0
1650335175.4648814,527,247.0
1650335176.4263988,528,106.0
1650335177.3169858,529,99.0
1650335179.3722773,530,227.0
1650335181.3721943,531,221.0
1650335182.2713857,532,98.0
1650335183.3425226,533,118.0
1650335183.936245,534,63.0
1650335192.8968155,535,1028.0
1650335194.326949,536,160.0
1650335197.6166108,537,374.0
1650335199.2812586,538,190.0
1650335200.8833573,539,175.0
1650335202.6105695,540,196.0
1650335203.985517,541,153.0
1650335207.3376138,542,378.0
1650335208.8148336,543,166.0
1650335211.4784942,544,300.0
1650335212.3378315,545,97.0
1650335219.826589,546,819.0
1650335225.6966808,547,647.0
1650335227.8528795,548,230.0
1650335229.8300812,549,222.0
1650335231.394012,550,167.0
1650335234.341184,551,322.0
1650335239.846572,552,607.0
1650335241.6986766,553,199.0
1650335242.5267622,554,89.0
1650335244.2386575,555,184.0
1650335247.193158,556,331.0
1650335249.460755,557,247.0
1650335250.9380605,558,164.0
1650335252.0518239,559,123.0
1650335254.3188922,560,244.0
1650335259.0228596,561,528.0
1650335260.8127928,562,196.0
1650335262.6408288,563,200.0
1650335264.4772165,564,208.0
1650335265.01701,565,59.0
1650335267.259861,566,248.0
1650335270.4688594,567,363.0
1650335278.534705,568,901.0
1650335286.9770656,569,930.0
1650335289.8146532,570,314.0
1650335290.676542,571,93.0
1650335291.989014,572,142.0
1650335293.8710012,573,206.0
1650335295.379499,574,167.0
1650335296.7783403,575,153.0
1650335298.7242177,576,218.0
1650335300.1079082,577,152.0
1650335302.654675,578,286.0
1650335304.0381436,579,155.0
1650335304.83499,580,89.0
1650335309.4738228,581,518.0
1650335311.3885167,582,213.0
1650335312.3533902,583,110.0
1650335313.4721456,584,125.0
1650335314.7845922,585,141.0
1650335316.5275562,586,190.0
1650335318.6309836,587,235.0
1650335319.0997078,588,53.0
1650335319.8184297,589,81.0
1650335322.1162882,590,249.0
1650335323.991213,591,214.0
1650335325.1867716,592,132.0
1650335326.2804897,593,121.0
1650335327.5772917,594,142.0
1650335329.898357,595,261.0
1650335331.0942724,596,130.0
1650335332.3212938,597,134.0
1650335339.6058204,598,800.0
1650335342.6823053,599,341.0
1650335344.581684,600,208.0
1650335345.2940981,601,78.0
1650335347.8252437,602,276.0
1650335348.5465744,603,77.0
1650335349.6246467,604,118.0
1650335353.1118634,605,394.0
1650335354.6359322,606,168.0
1650335356.5751045,607,213.0
1650335358.0750418,608,164.0
1650335359.30936,609,134.0
1650335360.9044394,610,175.0
1650335363.0232084,611,233.0
1650335365.946469,612,313.0
1650335369.5485144,613,400.0
1650335373.0686536,614,386.0
1650335380.125844,615,777.0
1650335383.5491562,616,375.0
1650335383.955389,617,44.0
1650335384.7209806,618,84.0
1650335386.1825528,619,165.0
1650335387.4637492,620,145.0
1650335396.0752285,621,953.0
1650335397.3180263,622,139.0
1650335398.8804576,623,176.0
1650335399.8179238,624,101.0
1650335400.9741228,625,129.0
1650335402.556609,626,173.0
1650335403.7838502,627,132.0
1650335404.9328399,628,124.0
1650335406.0664485,629,123.0
1650335406.6532547,630,64.0
1650335407.1376069,631,52.0
1650335407.6219633,632,50.0
1650335408.1844409,633,60.0
1650335408.7625415,634,62.0
1650335409.8648841,635,118.0
1650335410.1148722,636,27.0
1650335411.1700819,637,117.0
1650335412.3933568,638,134.0
1650335414.4440463,639,220.0
1650335418.2741365,640,422.0
1650335418.7116137,641,50.0
1650335419.30534,642,65.0
1650335422.5634625,643,362.0
1650335422.8759499,644,34.0
1650335423.3915517,645,56.0
1650335425.3062963,646,216.0
1650335426.1031373,647,89.0
1650335427.1583745,648,117.0
1650335427.8614676,649,76.0
1650335429.6270192,650,197.0
1650335430.75197,651,124.0
1650335431.6040442,652,92.0
1650335432.3227577,653,75.0
1650335433.3315775,654,110.0
1650335433.9878004,655,73.0
1650335434.6283958,656,70.0
1650335436.574481,657,215.0
1650335437.5518188,658,104.0
1650335438.7011113,659,127.0
1650335439.3417099,660,70.0
1650335439.9041855,661,63.0
1650335440.5916553,662,77.0
1650335441.0447617,663,49.0
1650335441.9438329,664,95.0
1650335442.4054656,665,49.0
1650335442.8273232,666,46.0
1650335443.6241598,667,85.0
1650335444.6484132,668,112.0
1650335445.398379,669,82.0
1650335446.2264717,670,90.0
1650335446.890858,671,72.0
1650335448.7657773,672,199.0
1650335449.7744439,673,111.0
1650335451.8325372,674,231.0
1650335452.8949897,675,111.0
1650335455.4752965,676,284.0
1650335455.756533,677,30.0
1650335457.1554415,678,155.0
1650335458.3850555,679,133.0
1650335460.0275211,680,178.0
1650335460.714991,681,76.0
1650335461.5518038,682,94.0
1650335462.66113,683,125.0
1650335463.8136814,684,127.0
1650335464.4003863,685,63.0
1650335464.9472418,686,60.0
1650335466.0187092,687,118.0
1650335466.768678,688,84.0
1650335467.1839125,689,47.0
1650335468.3023365,690,124.0
1650335470.8281822,691,282.0
1650335471.7271152,692,99.0
1650335472.3299422,693,67.0
1650335473.1376324,694,89.0
1650335473.481371,695,39.0
1650335474.7469354,696,140.0
1650335475.4031606,697,73.0
1650335476.0125177,698,66.0
1650335476.4343626,699,47.0
1650335477.6460586,700,132.0
1650335479.3959885,701,195.0
1650335481.00529,702,178.0
1650335481.9512684,703,107.0
1650335482.428843,704,51.0
1650335483.5069253,705,118.0
1650335484.0779543,706,63.0
1650335485.0935352,707,111.0
1650335486.3278594,708,134.0
1650335486.749711,709,47.0
1650335488.3050945,710,169.0
1650335489.0807934,711,85.0
1650335489.408969,712,36.0
1650335491.0651462,713,182.0
1650335491.966506,714,97.0
1650335492.6318145,715,70.0
1650335493.0068052,716,38.0
1650335493.4130268,717,44.0
1650335493.9286335,718,56.0
1650335494.5152903,719,65.0
1650335494.843401,720,36.0
1650335495.5933728,721,83.0
1650335497.0308104,722,157.0
1650335497.3994968,723,41.0
1650335498.2621052,724,95.0
1650335498.689089,725,47.0
1650335500.34527,726,185.0
1650335501.1819906,727,92.0
