Episode,Return,Step,
788,165,30,5.5
789,101,57,1.771929825
790,121,60,2.016666667
791,107,57,1.877192982
792,130,44,2.954545455
793,150,37,4.054054054
794,148,44,3.363636364
795,160,34,4.705882353
796,174,19,9.157894737
797,151,36,4.194444444
798,111,61,1.819672131
799,139,45,3.088888889
800,152,34,4.470588235
801,149,33,4.515151515
802,128,50,2.56
803,155,34,4.558823529
804,130,49,2.653061224
805,130,47,2.765957447
806,144,40,3.6
807,149,33,4.515151515
808,174,19,9.157894737
809,142,42,3.380952381
810,172,18,9.555555556
811,112,61,1.836065574
812,159,29,5.482758621
813,142,37,3.837837838
814,104,67,1.552238806
815,2,134,0.014925373
816,155,31,5
817,143,40,3.575
818,145,33,4.393939394
819,137,42,3.261904762
820,85,75,1.133333333
821,133,40,3.325
822,130,46,2.826086957
823,136,42,3.238095238
824,83,87,0.954022989
825,119,48,2.479166667
826,158,28,5.642857143
827,128,42,3.047619048
828,163,28,5.821428571
829,124,49,2.530612245
830,172,22,7.818181818
831,143,35,4.085714286
832,144,36,4
833,116,66,1.757575758
834,167,22,7.590909091
835,160,32,5
836,127,47,2.70212766
837,148,32,4.625
838,145,35,4.142857143
839,117,49,2.387755102
840,105,51,2.058823529
841,183,12,15.25
842,157,28,5.607142857
843,145,39,3.717948718
844,124,46,2.695652174
845,102,52,1.961538462
846,164,26,6.307692308
847,122,51,2.392156863
848,150,32,4.6875
849,92,63,1.46031746
850,109,52,2.096153846
851,164,25,6.56
852,154,25,6.16
853,125,47,2.659574468
854,146,38,3.842105263
855,153,28,5.464285714
856,133,48,2.770833333
857,131,46,2.847826087
858,119,51,2.333333333
859,152,31,4.903225806
860,162,26,6.230769231
861,169,18,9.388888889
862,147,35,4.2
863,54,84,0.642857143
864,158,26,6.076923077
865,162,25,6.48
866,139,34,4.088235294
867,141,35,4.028571429
868,148,36,4.111111111
869,169,18,9.388888889
870,125,46,2.717391304
871,124,43,2.88372093
872,130,39,3.333333333
873,113,53,2.132075472
874,79,69,1.144927536
875,132,41,3.219512195
876,161,24,6.708333333
877,139,37,3.756756757
878,75,72,1.041666667
879,128,40,3.2
880,130,47,2.765957447
881,130,46,2.826086957
882,138,33,4.181818182
883,153,28,5.464285714
884,156,28,5.571428571
885,145,33,4.393939394
886,93,63,1.476190476
887,139,36,3.861111111
888,164,23,7.130434783
889,121,50,2.42
890,152,28,5.428571429
891,87,71,1.225352113
892,148,32,4.625
893,147,31,4.741935484
894,153,27,5.666666667
895,133,40,3.325
896,173,16,10.8125
897,167,24,6.958333333
898,118,49,2.408163265
899,141,36,3.916666667
900,108,49,2.204081633
901,71,73,0.97260274
902,170,19,8.947368421
903,174,16,10.875
904,154,25,6.16
905,160,25,6.4
906,149,32,4.65625
907,121,45,2.688888889
908,44,78,0.564102564
909,169,20,8.45
910,122,44,2.772727273
911,130,38,3.421052632
912,136,36,3.777777778
913,164,21,7.80952381
914,81,63,1.285714286
915,155,27,5.740740741
916,117,47,2.489361702
917,134,36,3.722222222
918,125,39,3.205128205
919,81,65,1.246153846
920,143,30,4.766666667
921,169,20,8.45
922,130,42,3.095238095
923,127,41,3.097560976
924,103,57,1.807017544
925,131,42,3.119047619
926,115,51,2.254901961
927,95,56,1.696428571
928,140,39,3.58974359
929,164,22,7.454545455
930,159,23,6.913043478
931,161,24,6.708333333
932,173,17,10.17647059
933,147,30,4.9
934,169,19,8.894736842
935,106,49,2.163265306
936,65,70,0.928571429
937,150,29,5.172413793
938,129,40,3.225
939,128,41,3.12195122
940,167,24,6.958333333
941,144,33,4.363636364
942,113,50,2.26
943,111,56,1.982142857
944,137,38,3.605263158
945,157,25,6.28
946,78,64,1.21875
947,163,23,7.086956522
948,156,26,6
949,104,54,1.925925926
950,133,37,3.594594595
951,122,47,2.595744681
952,152,31,4.903225806
953,136,39,3.487179487
954,127,42,3.023809524
955,147,33,4.454545455
956,125,44,2.840909091
957,154,27,5.703703704
958,137,37,3.702702703
959,48,85,0.564705882
960,119,46,2.586956522
961,80,64,1.25
962,144,34,4.235294118
963,154,25,6.16
964,109,55,1.981818182
965,155,26,5.961538462
966,111,54,2.055555556
967,161,24,6.708333333
968,165,20,8.25
969,80,67,1.194029851
970,117,46,2.543478261
971,167,18,9.277777778
972,172,16,10.75
973,175,15,11.66666667
974,138,36,3.833333333
975,157,22,7.136363636
976,100,54,1.851851852
977,159,25,6.36
978,159,23,6.913043478
979,156,23,6.782608696
980,170,18,9.444444444
981,141,35,4.028571429
982,174,16,10.875
983,160,27,5.925925926
984,118,49,2.408163265
985,169,20,8.45
986,141,34,4.147058824
987,117,45,2.6
988,174,20,8.7
989,141,33,4.272727273
990,162,23,7.043478261
991,185,10,18.5
992,181,13,13.92307692
993,164,18,9.111111111
994,147,29,5.068965517
995,186,9,20.66666667
996,169,17,9.941176471
997,175,16,10.9375
998,172,17,10.11764706
999,154,24,6.416666667
