,Episode,Return,Step
169,169,-1273.191326694714,1150.8491152357497
170,170,-1273.0721940252427,1146.8642037121747
171,171,-1388.9649746227183,1232.8777833409572
172,172,-1640.9684771604464,1408.8900050068614
173,173,-1567.8716294444018,1358.2010045061754
174,174,-1555.4844664999619,1352.880904055558
175,175,-1454.9360198499658,1278.4928136500023
176,176,-1490.342417864969,1304.5435322850021
177,177,-1580.708176078472,1370.289179056502
178,178,-1670.6373584706248,1445.1602611508517
179,179,-1708.9736226235623,1469.6442350357665
180,180,-1806.976260361206,1532.17981153219
181,181,-1792.5786343250854,1524.161830378971
182,182,-1743.920770892577,1483.5456473410738
183,183,-1679.7286938033194,1431.7910826069665
184,184,-1620.4558244229875,1394.3119743462698
185,185,-1518.9102419806889,1320.580776911643
186,186,-1468.51921778262,1287.8226992204786
187,187,-1526.5672960043578,1341.7404292984309
188,188,-1552.410566403922,1356.9663863685878
189,189,-1479.46950976353,1307.769747731729
190,190,-1417.422558787177,1260.1927729585561
191,191,-1616.8803029084593,1395.9734956627005
192,192,-1593.0922726176132,1381.6761460964306
193,193,-1490.783045355852,1306.9085314867875
194,194,-1452.4047408202669,1276.3176783381086
195,195,-1436.5642667382403,1270.2859105042978
196,196,-1381.0078400644163,1230.1573194538682
197,197,-1330.7070560579746,1195.6415875084815
198,198,-1350.636350452177,1201.6774287576334
199,199,-1363.2727154069594,1231.60968588187
200,200,-1430.1454438662636,1264.048717293683
201,201,-1464.9308994796372,1303.1438455643147
202,202,-1539.2378095316735,1350.1294610078833
203,203,-1505.5140285785062,1333.216514907095
204,204,-1439.5626257206554,1287.7948634163854
205,205,-1364.7063631485898,1231.315377074747
206,206,-1421.735726833731,1268.283839367272
207,207,-1500.4621541503577,1318.8554554305447
208,208,-1427.415938735322,1265.1699098874903
209,209,-1394.2743448617898,1235.1529188987413
210,210,-1379.3469103756108,1227.9376270088671
211,211,-1424.9122193380497,1258.6438643079805
212,212,-1497.5209974042446,1306.2794778771824
213,213,-1511.9688976638201,1319.1515300894641
214,214,-1490.172007897438,1310.7363770805177
215,215,-1532.1548071076943,1336.5627393724658
216,216,-1492.4393263969248,1315.8064654352193
217,217,-1490.4953937572323,1309.0258188916973
218,218,-1458.245854381509,1279.2232370025276
219,219,-1390.421268943358,1225.7009133022748
220,220,-1316.3791420490222,1168.1308219720474
221,221,-1343.3412278441199,1187.2177397748428
222,222,-1264.007105059708,1129.4959657973586
223,223,-1204.0063945537374,1090.1463692176228
224,224,-1290.0057550983636,1151.7317322958604
225,225,-1279.0051795885272,1144.5585590662745
226,226,-1258.1046616296744,1139.702703159647
227,227,-1331.494195466707,1193.1324328436822
228,228,-1257.1447759200362,1137.819189559314
229,229,-1187.8302983280328,1089.4372706033828
230,230,-1364.7472684952295,1209.5935435430445
231,231,-1339.5725416457065,1184.73418918874
232,232,-1368.8152874811358,1207.260770269866
233,233,-1349.9337587330222,1186.5346932428795
234,234,-1307.8403828597197,1154.7812239185914
235,235,-1206.7563445737478,1078.1031015267322
236,236,-1209.680710116373,1089.992791374059
237,237,-1249.6126391047355,1118.893512236653
238,238,-1243.251375194262,1115.6041610129876
239,239,-1238.7262376748358,1110.8437449116889
240,240,-1206.9536139073523,1103.35937042052
241,241,-1181.4582525166172,1090.323433378468
242,242,-1123.3124272649554,1049.2910900406212
243,243,-1135.3811845384598,1052.361981036559
244,244,-1140.3430660846138,1059.1257829329031
245,245,-1118.3087594761525,1049.513204639613
246,246,-1166.1778835285372,1080.9618841756517
247,247,-1108.2600951756835,1034.6656957580865
248,248,-1064.8340856581153,1001.8991261822778
249,249,-1099.6506770923038,1028.70921356405
250,250,-1206.1856093830734,1105.938292207645
251,251,-1182.967048444766,1091.3444629868804
