Wall time,Step,Value
1650574049,940,50
1650574328,943,19
1650574483,946,62
1650575372,950,37
1650576307,953,33
1650576822,954,21
1650577810,955,46
1650578616,957,93
1650578815,958,13
1650578858,959,15
1650578986,962,49
1650579000,963,17
1650579026,965,32
1650579068,967,17
1650579074,968,17
1650579083,970,34
1650579126,972,40
1650579134,973,64
1650579162,975,68
1650579170,977,11
1650579234,978,38
1650579239,979,27
1650579245,980,46
1650579295,983,34
1650579298,984,20
1650579301,985,53
1650579329,988,39
1650579334,989,34
1650579365,997,36
1650579370,1000,77
