,Episode,Return,Step
256,256,-232.1079109534237,459.3867879683207
257,257,-241.39711985808134,468.6481091714886
258,258,-218.1574078722732,445.3832982543397
259,259,-204.44166708504588,431.64496842890577
260,260,-211.8975003765413,439.08047158601516
261,261,-276.1077503388872,503.2724244274136
262,262,-247.39697530499848,474.54518198467224
263,263,-233.3572777744986,460.490663786205
264,264,-213.12154999704876,440.24159740758455
265,265,-184.8093949973439,411.9174376668261
266,266,-155.0284554976095,382.22569390014354
267,267,-126.52560994784858,353.70312451012916
268,268,-134.57304895306373,361.7328120591162
269,269,-121.01574405775737,348.1595308532046
270,270,-135.31416965198164,362.4435777678841
271,271,-116.48275268678348,343.5992199910957
272,272,-133.43447741810513,360.6392979919861
273,273,-144.99102967629463,372.17536819278746
274,274,-132.69192670866516,359.8578313735087
275,275,-146.02273403779864,373.27204823615784
276,276,-125.02046063401878,352.2448434125421
277,277,-102.4184145706169,329.6203590712879
278,278,-119.97657311355522,347.1583231641591
279,279,-107.77891580219969,334.9424908477432
280,280,-105.90102422197972,333.0482417629689
281,281,-82.61092179978175,309.743417586672
282,282,-89.84982961980357,317.1690758280048
283,283,-64.46484665782323,291.75216824520436
284,284,-46.31836199204091,273.57695142068394
285,285,-22.48652579283683,249.71925627861555
286,286,-6.83787321355315,234.04733065075402
287,287,13.145914107802161,214.04259758567864
288,288,25.031322697021942,202.13833782711077
289,289,41.42819042731975,185.7245040443997
290,290,49.08537138458777,178.05205363995975
291,291,62.17683424612899,164.94684827596376
292,292,48.85915082151609,178.25216344836738
293,293,52.47323573936448,174.62694710353063
294,294,63.42591216542803,163.66425239317758
295,295,67.28332094888523,159.89782715385982
296,296,71.65498885399671,155.50804443847383
297,297,76.78948996859704,150.35723999462647
298,298,86.81054097173734,140.32151599516382
299,299,42.02948687456362,185.18936439564743
300,300,54.02653818710725,173.1704279560827
301,301,39.92388436839653,187.2533851604744
302,302,44.23149593155687,182.92804664442698
303,303,53.708346338401185,173.4352419799843
304,304,60.737511704561065,166.3917177819859
305,305,60.16376053410496,166.95254600378732
306,306,74.14738448069446,152.9572914034086
307,307,80.93264603262502,146.16156226306774
308,308,67.33938142936252,159.74540603676095
309,309,76.30544328642625,150.77086543308485
310,310,85.87489895778361,141.19377888977638
311,311,89.48740906200526,137.57440100079873
312,312,96.83866815580473,130.21696090071885
313,313,98.25480134022425,128.79526481064696
314,314,104.82932120620181,122.21573832958227
315,315,110.54638908558164,116.49416449662404
316,316,118.89175017702347,108.14474804696164
317,317,125.50257515932113,101.53027324226548
318,318,130.352317643389,96.67724591803893
319,319,137.0170858790501,90.00952132623505
320,320,137.21537729114507,89.80856919361155
321,321,141.29383956203057,85.7277122742504
322,322,117.36445560582752,109.65494104682534
323,323,126.02801004524476,100.9894469421428
324,324,134.72520904072027,92.29050224792853
325,325,136.85268813664825,90.16145202313567
326,326,131.46741932298343,95.54530682082209
327,327,137.02067739068508,89.99077613873989
328,328,138.31860965161655,88.6916985248659
329,329,124.9867486864549,102.02252867237931
330,330,130.7880738178094,96.22027580514137
331,331,138.10926643602846,88.89824822462724
332,332,130.19833979242563,96.80842340216451
333,333,130.17850581318305,96.82758106194807
334,334,130.96065523186473,96.04482295575326
335,335,132.36458970867827,94.64034066017794
336,336,136.52813073781044,90.47630659416015
337,337,122.3753176640294,104.72867593474413
338,338,123.03778589762645,104.05580834126972
339,339,115.0340073078638,112.05022750714275
340,340,116.03060657707742,111.04520475642848
341,341,123.92754591936968,103.14068428078563
342,342,123.23479132743272,103.82661585270708
343,343,128.01131219468945,99.04395426743636
344,344,109.91018097522051,117.13955884069273
345,345,111.81916287769846,115.22560295662346
346,346,118.63724658992862,108.50304266096111
347,347,126.67352193093575,100.45273839486501
348,348,122.00616973784217,105.10746455537851
349,349,106.30555276405795,120.79671809984066
350,350,117.27499748765216,109.81704628985659
351,351,118.14749773888694,108.93534166087093
352,352,126.33274796499825,100.74180749478384
353,353,132.9994731684984,94.06762674530546
354,354,138.89952585164858,88.16086407077492
355,355,141.70957326648372,85.34477766369743
356,356,141.73861593983534,85.31029989732768
357,357,144.7647543458518,82.27926990759491
358,358,147.9882789112666,79.05134291683542
359,359,148.88945102013994,78.14620862515189
360,360,155.50050591812595,71.5315877626367
361,361,158.75045532631339,68.27842898637304
362,362,163.57540979368204,63.45058608773574
363,363,163.41786881431383,63.60552747896217
364,364,168.17608193288245,58.84497473106596
365,365,172.0584737395942,54.96047725795937
366,366,175.45262636563479,51.56442953216344
367,367,172.1073637290713,54.907986578947096
368,368,169.59662735616416,57.41718792105239
369,369,171.33696462054775,55.67546912894715
370,370,169.90326815849298,57.10792221605244
371,371,170.41294134264368,56.59712999444719
372,372,169.4716472083793,57.537416995002474
373,373,173.02448248754138,53.98367529550222
374,374,164.22203423878724,62.785307765952
375,375,167.69983081490852,59.3067769893568
376,376,171.8298477334177,55.176099290421114
377,377,175.14686296007594,51.858489361379
378,378,173.73217666406833,53.2726404252411
379,379,174.4589589976615,52.545376382716995
380,380,172.71306309789534,54.290838744445296
381,381,173.9417567881058,53.06175487000077
382,382,161.64758110929523,65.35557938300069
383,383,162.6828229983657,64.32002144470061
384,384,167.71454069852913,59.28801930023055
385,385,171.84308662867622,55.15921737020749
386,386,175.2587779658086,51.74329563318675
387,387,177.83290016922774,49.16896606986808
388,388,173.64961015230497,53.352069462881275
389,389,173.08464913707445,53.91686251659315
390,390,169.476184223367,57.52517626493383
391,391,171.0285658010303,55.97265863844045
392,392,174.32570922092728,52.6753927745964
393,393,172.89313829883454,54.10785349713676
394,394,176.5038244689511,50.49706814742308
395,395,177.85344202205602,49.147361332680774
396,396,179.9680978198504,47.03262519941269
397,397,177.67128803786537,49.32936267947142
398,398,180.20415923407882,46.79642641152428
399,399,180.18374331067093,46.816783770371856
400,400,183.36536897960383,43.63510539333467
401,401,185.72883208164345,41.2715948540012
402,402,187.5559488734791,39.44443536860108
403,403,185.0003539861312,41.99999183174097
404,404,181.70031858751807,45.29999264856688
405,405,180.43028672876628,46.56999338371019
406,406,175.68725805588963,51.312994045339174
407,407,176.31853225030065,50.681694640805254
408,408,177.98667902527058,49.01352517672473
409,409,180.2880111227435,46.71217265905226
410,410,181.85921001046916,45.14095539314703
411,411,177.77328900942223,49.22685985383232
412,412,179.59596010848,47.40417386844909
413,413,181.83636409763199,45.16375648160418
414,414,183.1527276878688,43.847380833443765
415,415,186.0374549190819,40.96264275009939
416,416,186.33370942717372,40.66637847508945
417,417,187.50033848445634,39.49974062758051
418,418,188.6503046360107,38.34976656482245
419,419,190.88527417240962,36.11478990834021
420,420,192.89674675516866,34.103310917506185
421,421,194.0070720796518,32.99297982575557
422,422,195.10636487168662,31.893681843180012
423,423,194.29572838451796,32.70431365886201
424,424,195.76615554606616,31.233882292975814
425,425,196.38953999145954,30.61049406367823
426,426,197.8505859923136,29.14944465731041
427,427,197.56552739308225,29.43450019157937
428,428,192.80897465377402,34.191050172421434
429,429,188.12807718839662,38.87194515517929
430,430,186.31526946955697,40.68475063966136
431,431,186.78374252260127,40.21627557569523
432,432,188.70536827034115,38.294648018125706
433,433,189.03483144330704,37.965183216313136
434,434,190.13134829897635,36.86866489468183
435,435,191.01821346907872,35.981798405213645
436,436,188.81639212217087,38.18361856469228
437,437,191.13475290995376,35.86525670822306
438,438,191.02127761895838,35.97873103740075
439,439,192.21914985706252,34.78085793366068
440,440,189.8972348713563,37.10277214029461
441,441,190.50751138422066,36.49249492626515
442,442,191.3567602457986,35.64324543363863
443,443,190.62108422121875,36.37892089027477
