,Step,Value
383,384,-262.0050754141977
384,385,-167.60406033135814
385,386,-91.08324826508652
386,387,-29.866598612069232
387,388,18.506721110344603
388,389,-23.794623111724313
389,390,22.564301510620542
390,391,60.65144120849642
391,392,12.32115296679715
392,393,52.85692237343771
393,394,86.88553789875016
394,395,113.90843031900012
395,396,134.7267442552001
396,397,151.38139540416006
397,398,164.50511632332802
398,399,175.2040930586624
399,400,184.16327444692993
400,401,190.73061955754395
401,402,196.58449564603515
402,403,201.86759651682812
403,404,205.6940772134625
404,405,208.35526177077
405,406,209.884209416616
406,407,211.9073675332928
407,408,211.32589402663424
408,409,212.8607152213074
409,410,214.0885721770459
410,411,215.47085774163673
411,412,215.9766861933094
412,413,217.38134895464754
413,414,217.50507916371802
414,415,217.6040633309744
415,416,218.28325066477953
416,417,218.42660053182362
417,418,216.9412804254589
418,419,217.3530243403671
419,420,216.8824194722937
420,421,214.70593557783496
421,422,215.96474846226798
422,423,216.57179876981436
423,424,217.8574390158515
424,425,216.2859512126812
425,426,216.62876097014495
426,427,216.90300877611597
427,428,217.32240702089277
428,429,217.05792561671421
429,430,217.44634049337137
430,431,215.9570723946971
431,432,216.56565791575767
432,433,216.85252633260615
433,434,213.88202106608492
434,435,211.70561685286793
435,436,213.36449348229436
436,437,215.29159478583549
437,438,213.8332758286684
438,439,213.8666206629347
439,440,214.69329653034777
440,441,214.9546372242782
441,442,215.16370977942256
442,443,196.13096782353807
443,444,190.30477425883043
444,445,193.64381940706437
445,446,189.9150555256515
446,447,174.5320444205212
447,448,170.22563553641697
448,449,166.1805084291336
449,450,172.54440674330687
450,451,166.0355253946455
451,452,146.62842031571643
452,453,161.30273625257314
453,454,173.6421890020585
454,455,183.1137512016468
455,456,189.49100096131744
456,457,194.79280076905394
457,458,199.23424061524315
458,459,196.5873924921945
459,460,192.66991399375559
460,461,197.33593119500446
461,462,201.06874495600357
462,463,197.05499596480286
463,464,201.84399677184228
464,465,205.67519741747384
465,466,206.74015793397908
466,467,209.79212634718328
467,468,208.03370107774663
468,469,210.42696086219732
469,470,212.74156868975786
470,471,213.7932549518063
471,472,212.23460396144503
472,473,213.38768316915602
473,474,207.51014653532482
474,475,205.40811722825987
475,476,208.9264937826079
476,477,209.34119502608633
477,478,209.67295602086907
478,479,211.73836481669525
479,480,212.3906918533562
480,481,210.71255348268497
481,482,213.17004278614797
482,483,213.9360342289184
483,484,214.94882738313473
484,485,215.1590619065078
485,486,215.32724952520624
486,487,215.861799620165
487,488,217.289439696132
488,489,215.8315517569056
489,490,216.8652414055245
490,491,217.0921931244196
491,492,216.87375449953566
492,493,216.89900359962854
493,494,217.11920287970284
494,495,215.09536230376227
495,496,214.8762898430098
496,497,215.70103187440785
497,498,213.36082549952627
498,499,214.68866039962103
499,500,214.95092831969683
500,501,214.56074265575748
501,502,211.04859412460598
502,503,208.43887529968478
503,504,211.15110023974785
504,505,208.12088019179828
505,506,207.89670415343863
506,507,209.1173633227509
507,508,210.4938906582007
508,509,212.59511252656057
509,510,213.87609002124844
510,511,214.70087201699877
511,512,214.56069761359902
512,513,214.8485580908792
513,514,213.07884647270336
514,515,213.8630771781627
515,516,211.89046174253016
516,517,211.71236939402414
517,518,211.56989551521932
518,519,212.25591641217545
519,520,214.20473312974036
520,521,215.7637865037923
521,522,216.21102920303383
522,523,-102.63117663757288
523,524,-37.70494131005832
524,525,13.636046951953336
525,526,54.90883756156266
526,527,88.12707004925012
527,528,114.70165603940009
528,529,136.56132483152007
529,530,152.84905986521605
530,531,165.87924789217283
531,532,175.70339831373826
532,533,183.9627186509906
533,534,191.3701749207925
534,535,196.496139936634
535,536,200.3969119493072
536,537,203.71752955944578
537,538,205.3740236475566
538,539,207.4992189180453
539,540,209.99937513443626
540,541,212.399500107549
541,542,214.5196000860392
542,543,214.61568006883135
543,544,216.2925440550651
544,545,214.0340352440521
545,546,215.42722819524167
546,547,216.34178255619335
547,548,216.0734260449547
548,549,213.65874083596375
549,550,215.52699266877102
550,551,216.82159413501682
551,552,217.25727530801345
552,553,217.00582024641076
553,554,216.40465619712862
554,555,217.52372495770288
555,556,217.41897996616228
556,557,217.53518397292984
557,558,217.42814717834386
558,559,216.1425177426751
559,560,213.71401419414008
560,561,215.17121135531207
561,562,216.33696908424966
562,563,216.66957526739972
563,564,217.3356602139198
564,565,216.66852817113582
565,566,216.53482253690865
566,567,217.22785802952694
567,568,216.58228642362155
568,569,217.26582913889726
569,570,217.01266331111782
570,571,217.81013064889424
571,572,217.8481045191154
572,573,217.8784836152923
573,574,217.90278689223385
574,575,217.92222951378707
575,576,217.33778361102966
576,577,217.87022688882374
577,578,219.296181511059
578,579,220.23694520884717
579,580,218.38955616707773
580,581,217.9116449336622
581,582,219.12931594692975
582,583,219.7034527575438
583,584,216.76276220603506
584,585,217.41020976482807
585,586,218.72816781186245
586,587,217.98253424948996
587,588,218.58602739959196
588,589,219.06882191967355
589,590,219.45505753573883
590,591,218.16404602859106
591,592,219.33123682287285
592,593,219.0649894582983
593,594,217.65199156663863
594,595,218.7215932533109
595,596,219.77727460264873
596,597,220.62181968211897
597,598,219.69745574569518
598,599,220.35796459655614
599,600,220.0863716772449
600,601,220.66909734179592
601,602,219.73527787343673
602,603,219.7882222987494
603,604,220.23057783899952
604,605,220.98446227119962
605,606,220.1875698169597
606,607,220.55005585356776
607,608,220.6400446828542
608,609,218.71203574628336
609,610,218.5696285970267
610,611,218.85570287762138
611,612,219.0845623020971
612,613,218.46764984167768
613,614,219.57411987334214
614,615,220.05929589867372
615,616,220.047436718939
616,617,219.6379493751512
617,618,219.31035950012097
618,619,220.04828760009678
619,620,219.83863008007742
620,621,220.67090406406194
621,622,220.73672325124954
622,623,220.98937860099966
623,624,221.5915028807997
624,625,220.87320230463976
625,626,220.2985618437118
626,627,220.43884947496946
627,628,221.3510795799756
628,629,221.48086366398047
629,630,220.78469093118437
630,631,220.8277527449475
631,632,221.06220219595798
632,633,221.24976175676636
633,634,220.9998094054131
634,635,220.59984752433047
635,636,221.0798780194644
636,637,221.4639024155715
637,638,220.9711219324572
638,639,220.97689754596576
639,640,220.9815180367726
640,641,221.38521442941808
641,642,221.30817154353446
642,643,221.24653723482757
643,644,220.79722978786205
644,645,221.23778383028966
645,646,220.59022706423173
646,647,220.4721816513854
647,648,220.57774532110832
648,649,221.06219625688666
649,650,220.64975700550931
650,651,220.71980560440744
651,652,220.57584448352597
652,653,221.0606755868208
653,654,220.84854046945665
654,655,221.0788323755653
655,656,220.66306590045224
656,657,220.9304527203618
657,658,220.54436217628944
658,659,221.03548974103157
659,660,220.82839179282527
660,661,220.66271343426024
661,662,220.73017074740818
662,663,220.78413659792653
663,664,221.42730927834123
664,665,221.14184742267298
665,666,221.31347793813836
666,667,221.2507823505107
667,668,220.80062588040855
668,669,221.04050070432686
669,670,221.0324005634615
670,671,219.82592045076922
671,672,219.8607363606154
672,673,218.88858908849232
673,674,218.71087127079386
674,675,218.9686970166351
675,676,219.97495761330808
676,677,220.57996609064648
677,678,220.66397287251718
678,679,221.33117829801373
679,680,221.86494263841098
680,681,222.09195411072878
681,682,222.27356328858303
682,683,222.21885063086643
683,684,221.77508050469316
684,685,221.42006440375454
685,686,220.9360515230036
686,687,221.14884121840288
687,688,221.51907297472232
688,689,221.21525837977788
689,690,221.1722067038223
690,691,221.13776536305784
691,692,220.51021229044628
692,693,220.808169832357
693,694,220.4465358658856
694,695,219.7572286927085
695,696,220.00578295416682
696,697,219.80462636333345
697,698,220.24370109066678
698,699,219.99496087253343
699,700,219.99596869802676
700,701,219.9967749584214
701,702,220.79741996673712
702,703,221.4379359733897
703,704,221.75034877871175
704,705,221.4002790229694
705,706,220.72022321837554
706,707,221.17617857470043
707,708,221.54094285976035
708,709,220.63275428780827
709,710,220.7062034302466
710,711,220.76496274419728
711,712,221.01197019535783
712,713,221.00957615628627
713,714,220.80766092502904
714,715,221.04612874002322
715,716,221.03690299201858
716,717,221.42952239361486
717,718,221.5436179148919
718,719,220.43489433191354
719,720,220.54791546553082
720,721,220.23833237242465
721,722,220.39066589793973
722,723,220.1125327183518
723,724,220.49002617468142
724,725,220.59202093974514
725,726,220.87361675179613
726,727,221.0988934014369
727,728,220.07911472114952
728,729,220.06329177691964
729,730,220.85063342153572
730,731,220.6805067372286
731,732,220.74440538978288
732,733,220.19552431182632
733,734,220.35641944946104
734,735,220.88513555956885
735,736,220.7081084476551
736,737,219.16648675812408
737,738,218.93318940649928
738,739,218.14655152519944
739,740,219.11724122015957
740,741,219.29379297612766
741,742,219.63503438090214
742,743,219.9080275047217
743,744,219.92642200377736
744,745,219.74113760302188
745,746,220.5929100824175
746,747,219.474328065934
747,748,219.5794624527472
748,749,219.26356996219778
749,750,220.01085596975824
750,751,220.2086847758066
751,752,220.56694782064528
752,753,220.45355825651623
753,754,220.562846605213
754,755,220.0502772841704
755,756,219.04022182733632
756,757,219.43217746186906
757,758,218.54574196949525
758,759,218.83659357559623
759,760,218.26927486047697
760,761,218.21541988838158
761,762,217.97233591070528
762,763,218.37786872856424
763,764,219.3022949828514
764,765,219.44183598628115
765,766,218.7534687890249
766,767,218.60277503121992
767,768,218.2822200249759
768,769,217.02577601998075
769,770,218.0206208159846
770,771,218.6164966527877
771,772,217.69319732223016
772,773,217.55455785778412
773,774,215.4436462862273
774,775,216.55491702898183
775,776,216.6439336231855
776,777,216.11514689854837
777,778,217.0921175188387
778,779,218.27369401507096
779,780,216.21895521205678
780,781,215.17516416964543
781,782,215.74013133571634
782,783,214.5921050685731
783,784,215.07368405485846
784,785,214.0589472438868
785,786,212.24715779510944
786,787,211.39772623608755
787,788,210.31818098887004
788,789,208.05454479109602
789,790,208.6436358328768
790,791,210.51490866630147
791,792,210.81192693304115
792,793,206.64954154643294
793,794,209.31963323714638
794,795,208.2557065897171
795,796,207.8045652717737
796,797,209.64365221741895
797,798,209.51492177393516
798,799,208.41193741914813
799,800,205.72954993531852
800,801,204.7836399482548
801,802,203.02691195860385
802,803,204.8215295668831
803,804,207.65722365350646
804,805,209.12577892280518
805,806,208.50062313824415
806,807,210.40049851059533
807,808,208.92039880847628
808,809,209.33631904678103
809,810,211.66905523742483
810,811,213.13524418993987
811,812,212.1081953519519
812,813,213.48655628156152
813,814,215.5892450252492
814,815,215.87139602019937
815,816,216.4971168161595
816,817,217.59769345292761
817,818,218.0781547623421
818,819,219.06252380987368
819,820,217.45001904789893
820,821,217.96001523831916
821,822,218.36801219065535
822,823,219.09440975252426
823,824,219.0755278020194
824,825,219.6604222416155
825,826,220.5283377932924
826,827,220.62267023463392
827,828,220.69813618770712
828,829,221.5585089501657
829,830,220.84680716013256
830,831,219.67744572810605
831,832,220.54195658248483
832,833,220.8335652659879
833,834,221.26685221279033
834,835,221.41348177023224
835,836,221.53078541618578
836,837,221.22462833294864
837,838,221.97970266635892
838,839,221.18376213308713
839,840,221.1470097064697
840,841,221.71760776517576
841,842,221.77408621214062
842,843,221.81926896971248
843,844,221.85541517576996
844,845,220.88433214061598
845,846,220.7074657124928
846,847,220.76597256999423
847,848,221.0127780559954
848,849,220.21022244479633
849,850,220.5681779558371
850,851,221.4545423646697
851,852,221.36363389173576
852,853,221.8909071133886
853,854,222.3127256907109
854,855,221.45018055256872
855,856,221.76014444205498
856,857,221.408115553644
857,858,220.3264924429152
858,859,220.26119395433216
859,860,220.80895516346573
860,861,221.44716413077256
861,862,221.75773130461806
862,863,221.60618504369444
863,864,221.48494803495555
864,865,221.98795842796443
865,866,222.19036674237154
866,867,221.75229339389725
867,868,222.0018347151178
868,869,222.60146777209425
869,870,221.68117421767542
870,871,221.94493937414035
871,872,220.7559514993123
872,873,221.40476119944984
873,874,221.32380895955987
874,875,221.8590471676479
875,876,222.08723773411833
876,877,222.26979018729466
877,878,221.2158321498357
878,879,221.17266571986858
879,880,221.33813257589486
880,881,221.47050606071588
881,882,221.7764048485727
882,883,222.42112387885817
883,884,221.93689910308655
884,885,222.14951928246924
885,886,222.5196154259754
886,887,222.21569234078032
887,888,221.97255387262425
888,889,222.3780430980994
889,890,222.30243447847954
890,891,222.44194758278363
891,892,222.1535580662269
892,893,221.72284645298154
893,894,221.77827716238522
894,895,221.82262172990818
895,896,222.25809738392653
896,897,222.20647790714122
897,898,221.365182325713
898,899,221.8921458605704
899,900,221.51371668845633
900,901,221.61097335076505
901,902,222.08877868061202
902,903,222.07102294448964
903,904,222.25681835559172
904,905,221.80545468447337
905,906,221.6443637475787
906,907,222.11549099806294
907,908,221.69239279845036
908,909,221.3539142387603
909,910,220.88313139100822
910,911,220.50650511280656
911,912,221.00520409024526
912,913,221.0041632721962
913,914,221.40333061775695
914,915,221.12266449420557
915,916,221.09813159536446
916,917,221.87850527629158
917,918,221.70280422103326
918,919,220.76224337682663
919,920,221.6097947014613
920,921,220.28783576116905
921,922,220.63026860893524
922,923,220.9042148871482
923,924,221.3233719097186
924,925,221.85869752777486
925,926,221.6869580222199
926,927,221.9495664177759
927,928,222.55965313422075
928,929,222.8477225073766
929,930,222.87817800590128
930,931,220.10254240472102
931,932,220.68203392377683
932,933,221.14562713902146
933,934,221.11650171121715
934,935,221.69320136897372
935,936,221.35456109517898
936,937,221.6836488761432
937,938,221.94691910091456
938,939,221.75753528073164
939,940,221.8060282245853
940,941,221.24482257966824
941,942,221.5958580637346
942,943,221.6766864509877
943,944,222.34134916079017
944,945,222.27307932863215
945,946,222.41846346290572
946,947,220.93477077032458
947,948,221.54781661625967
948,949,221.23825329300774
949,950,221.3906026344062
950,951,221.512482107525
951,952,221.60998568601997
952,953,221.48798854881596
953,954,221.79039083905278
954,955,221.63231267124223
955,956,220.10585013699378
956,957,220.68468010959504
957,958,220.74774408767604
958,959,220.59819527014085
959,960,220.47855621611268
960,961,220.38284497289015
961,962,220.90627597831212
962,963,220.9250207826497
963,964,221.34001662611976
964,965,220.67201330089583
965,966,220.33761064071666
966,967,220.27008851257335
967,968,220.81607081005868
968,969,220.65285664804696
969,970,221.32228531843757
970,971,221.05782825475006
971,972,221.04626260380005
972,973,221.23701008304005
973,974,221.18960806643204
974,975,221.15168645314563
975,976,220.52134916251651
976,977,220.41707933001322
977,978,220.53366346401057
978,979,220.62693077120846
979,980,220.70154461696677
980,981,220.16123569357342
981,982,220.72898855485874
982,983,220.183190843887
983,984,220.54655267510958
984,985,220.63724214008766
985,986,220.50979371207015
986,987,221.20783496965612
987,988,219.96626797572492
988,989,220.17301438057993
989,990,220.13841150446396
990,991,220.51072920357115
991,992,220.40858336285692
992,993,220.32686669028556
993,994,220.86149335222845
994,995,221.08919468178277
995,996,220.47135574542622
996,997,221.17708459634096
997,998,220.74166767707277
998,999,221.39333414165822
999,1000,221.91466731332656
