Episode,Return,Step
815,216.0,11
816,215.0,12
817,173.0,54
818,215.0,12
819,201.0,26
820,214.0,13
821,208.0,19
822,207.0,20
823,206.0,21
824,205.0,22
825,193.0,34
826,213.0,14
827,210.0,17
828,215.0,12
829,200.0,28
830,197.0,30
831,205.0,22
832,205.0,22
833,212.0,15
834,216.0,11
835,206.0,21
836,206.0,21
837,206.0,21
838,218.0,9
839,216.0,11
840,212.0,15
841,218.0,9
842,206.0,21
843,215.0,12
844,195.0,32
845,215.0,12
846,216.0,11
847,217.0,10
848,205.0,22
849,211.0,16
850,217.0,10
851,215.0,12
852,218.0,9
853,216.0,11
854,218.0,9
855,215.0,12
856,213.0,14
857,206.0,21
858,216.0,11
859,217.0,10
860,216.0,11
861,112.0,116
862,198.0,29
863,210.0,17
864,207.0,20
865,213.0,14
866,212.0,15
867,218.0,9
868,216.0,11
869,139.0,88
870,211.0,16
871,211.0,16
872,216.0,11
873,205.0,22
874,217.0,10
875,215.0,12
876,213.0,14
877,212.0,15
878,211.0,16
879,50.0,179
880,213.0,14
881,211.0,16
882,218.0,9
883,210.0,18
884,187.0,41
885,216.0,11
886,206.0,21
887,216.0,11
888,197.0,30
889,215.0,12
890,212.0,15
891,200.0,27
892,212.0,15
893,218.0,9
894,198.0,29
895,206.0,21
896,216.0,11
897,194.0,34
898,206.0,21
899,212.0,15
900,193.0,34
901,185.0,42
902,210.0,17
903,213.0,14
904,213.0,14
905,216.0,11
906,205.0,22
907,194.0,33
908,205.0,22
909,215.0,12
910,208.0,19
911,213.0,14
912,213.0,14
913,195.0,32
914,213.0,14
915,217.0,10
916,192.0,35
917,211.0,16
918,204.0,23
919,214.0,13
920,212.0,15
921,194.0,33
922,203.0,24
923,213.0,14
924,211.0,16
925,166.0,61
926,213.0,14
927,214.0,13
928,215.0,12
929,205.0,22
930,215.0,12
931,218.0,9
932,211.0,16
933,215.0,12
934,214.0,13
935,206.0,21
936,197.0,30
937,202.0,25
938,203.0,24
939,215.0,12
940,215.0,12
941,216.0,11
942,218.0,9
943,216.0,11
944,211.0,16
945,202.0,25
946,216.0,11
947,208.0,19
948,214.0,13
949,210.0,17
950,207.0,20
951,208.0,19
952,209.0,18
953,217.0,10
954,203.0,24
955,211.0,16
956,206.0,21
957,212.0,15
958,211.0,16
959,200.0,27
960,208.0,19
961,214.0,13
962,202.0,25
963,211.0,16
964,206.0,21
965,217.0,10
966,203.0,24
967,207.0,20
968,212.0,15
969,218.0,9
970,202.0,25
971,207.0,20
972,214.0,13
973,215.0,12
974,213.0,14
975,207.0,20
976,212.0,15
977,211.0,16
978,217.0,10
979,214.0,13
980,216.0,11
981,214.0,13
982,206.0,21
983,210.0,17
984,213.0,14
985,218.0,9
986,214.0,13
987,216.0,11
988,214.0,13
989,210.0,17
990,213.0,14
991,218.0,9
992,213.0,14
993,191.0,36
994,214.0,13
995,207.0,20
996,216.0,11
997,213.0,14
998,198.0,29
999,217.0,10
